,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,82870.0,1648762403249,1,1648762403249,56735850529.0,87791.0,82277.0,-1675.3126748810319,-1.98155,-30466043218.235596,-1.81429,19845871.0,19845871.0,21000000.0,108786.0,-23.66032,2025-01-20T09:11:54.494Z,67.81,122371.24346,2013-07-06T00:00:00.000Z,,2025-04-03T12:07:04.671Z
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,1791.02,216571537533,2,216571537533,25317522614.0,1934.1,1787.86,-73.99347646114506,-3.96745,-8985000792.498749,-3.98348,120664450.2605546,120664450.2605546,,4878.26,-63.21902,2021-11-10T14:24:19.604Z,0.432979,414301.79958,2015-10-20T00:00:00.000Z,"{'times': 27.875338966394498, 'currency': 'btc', 'percentage': 2787.5338966394497}",2025-04-03T12:06:57.337Z
2,tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999769,144001534362,3,144001534362,83311700744.0,1.0,0.999644,-0.000160483271072986,-0.01605,-21264634.505462646,-0.01476,144034280963.4801,144034280963.4801,,1.32,-24.43664,2018-07-24T00:00:00.000Z,0.572521,74.62682,2015-03-02T00:00:00.000Z,,2025-04-03T12:06:58.056Z
3,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.03,118284939947,4,203191002077,6299024167.0,2.19,2.0,-0.0869336914806067,-4.1106,-4839991382.108276,-3.93096,58205697378.0,99986304107.0,100000000000.0,3.4,-40.24346,2018-01-07T00:00:00.000Z,0.00268621,75500.89013,2014-05-22T00:00:00.000Z,,2025-04-03T12:06:53.977Z
4,binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,592.01,86546598204,5,86546598204,1864669258.0,611.36,584.99,-6.95888192116638,-1.1618,-981572080.0553589,-1.12144,145887575.79,145887575.79,200000000.0,788.84,-24.81959,2024-12-04T10:35:25.220Z,0.0398177,1489327.87643,2017-10-19T00:00:00.000Z,,2025-04-03T12:07:04.510Z
5,usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999877,60639197814,6,60703725126,14532492433.0,1.0,0.999873,-1.92569523082e-05,-0.00193,536445171.0,0.89255,60643318652.55108,60707850349.18632,,1.17,-14.7329,2019-05-08T00:40:28.300Z,0.877647,13.93338,2023-03-11T08:02:13.981Z,,2025-04-03T12:06:58.284Z
6,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,115.48,59305892708,7,69146776111,7818869201.0,134.14,115.56,-10.36630672394287,-8.23743,-5157454244.554092,-8.0006,512624522.8807097,597686528.1679729,,293.31,-60.52245,2025-01-19T11:15:27.957Z,0.500801,23021.42564,2020-05-11T19:35:23.449Z,,2025-04-03T12:06:56.087Z
7,dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.159905,23817548802,8,23821231807,1931554848.0,0.177884,0.159963,-0.011520654517820944,-6.7205,-1671260031.6173096,-6.55684,148673556383.7052,148696546383.7052,,0.731578,-78.11162,2021-05-08T05:08:23.458Z,8.69e-05,184162.01594,2015-05-06T00:00:00.000Z,,2025-04-03T12:06:57.234Z
8,cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.641318,23131402278,9,28923754445,1088272109.0,0.698676,0.636305,-0.035261860503839615,-5.21178,-1250400855.6752167,-5.12842,35988173820.26504,45000000000.0,45000000000.0,3.09,-79.19884,2021-09-02T06:00:10.474Z,0.01925275,3235.17799,2020-03-13T02:22:55.044Z,,2025-04-03T12:07:04.572Z
9,tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.231452,22021777320,10,22021939166,761553092.0,0.241454,0.231278,-0.006403084564967437,-2.69201,-613257627.9460983,-2.70933,94984629722.39697,94985327796.68628,,0.431288,-46.30653,2024-12-04T00:10:40.323Z,0.00180434,12734.24897,2017-11-12T00:00:00.000Z,"{'times': 120.81703529111563, 'currency': 'usd', 'percentage': 12081.703529111563}",2025-04-03T12:06:57.806Z
10,staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,1788.36,16809673302,11,16809673302,18019653.0,1939.11,1785.64,-76.99414723056111,-4.12759,-702319422.310072,-4.01051,9378727.163119422,9378727.163119422,,4829.57,-62.87791,2021-11-10T14:40:47.256Z,482.9,271.26763,2020-12-22T04:08:21.854Z,,2025-04-03T12:06:55.010Z
11,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,82777.0,10684312807,12,10684312807,395578858.0,87635.0,82211.0,-1634.7314317577984,-1.93663,-209659955.39596748,-1.92455,128915.05657878,128915.05657878,128915.05657878,108368.0,-23.51775,2025-01-20T07:16:27.137Z,3139.17,2540.25501,2019-04-02T00:00:00.000Z,,2025-04-03T12:06:58.437Z
12,the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,3.68,9085660350,13,18918801071,302692646.0,4.08,3.65,-0.3493733694073695,-8.67692,-820230818.2158604,-8.28023,2461875281.867503,5126289881.604624,,8.25,-55.31358,2024-06-15T00:36:51.509Z,0.519364,610.14598,2021-09-21T00:33:11.092Z,,2025-04-03T12:06:57.350Z
13,leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.4,8702346596,14,9281060248,5514722.0,9.55,9.29,0.01444969,0.15393,33933101.0,0.39146,923805622.9,985239504.0,,10.14,-7.02907,2025-03-10T09:26:43.294Z,0.799859,1078.04561,2019-12-24T15:14:35.376Z,,2025-04-03T12:07:01.603Z
